"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Alltime.high","Year.high","Country","Naf.games.played","Win.procent","order","division"
"87","Widram","Super League S6 EU Div 3A","Gnome",26904,NA,167.79,NA,"Widram",124.48,195.84,131.13,"Wales","150 (46/36/68)",42.67,401,"03 – EU Div 3"
"88","Doc_Grotznik","Super League S6 EU Div 3A","Imperial Nobility",9659,NA,178.26,NA,"Doc_Grotznik",169.49,210.08,0,"France","231 (77/49/105)",43.94,401,"03 – EU Div 3"
"89","Bignaites","Super League S6 EU Div 3B","Necromantic Horror",31447,180.64,205.34,NA,"PedroR",251.47,260.77,260.77,"Portugal","101 (56/23/22)",66.83,402,"03 – EU Div 3"
"90","raiksnn","Super League S6 EU Div 3B","Shambling Undead",30774,169.48,169.48,NA,"raiksnn",158.91,164.16,163.37,"Germany","35 (12/8/15)",45.71,402,"03 – EU Div 3"
"91","Professeur","Super League S6 EU Div 3B","Dark Elf",32210,154.44,165.01,NA,"professeur",176.75,193.6,193.08,"France","222 (65/62/95)",43.24,402,"03 – EU Div 3"
"92","MONGOR79","Super League S6 EU Div 3B","Orc",25820,142.98,142.98,NA,"MONGOR",153.27,172.4,0,"Greece","50 (16/11/23)",43,402,"03 – EU Div 3"
"93","MerryZ","Super League S6 EU Div 3B","Old World Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,"03 – EU Div 3"
"94","Xialth","Super League S6 EU Div 3B","Necromantic Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,"03 – EU Div 3"
"95","Rijssiej","Super League S6 EU Div 3B","Shambling Undead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,"03 – EU Div 3"
"96","Palmu","Super League S6 EU Div 3B","Elven Union",31978,NA,162.65,NA,"palmu",177.25,177.25,177.25,"Finland","34 (16/8/10)",58.82,402,"03 – EU Div 3"
"97","Arioso","Super League S6 EU Div 3C","Amazon",18378,218.64,218.64,NA,"arioso",225.73,279.17,252.88,"Germany","849 (415/226/208)",62.19,403,"03 – EU Div 3"
"98","PurpleChest","Super League S6 EU Div 3C","Dark Elf",24645,209.17,216.66,NA,"PurpleChest",258.46,284.19,277.99,"England","208 (120/58/30)",71.63,403,"03 – EU Div 3"
"99","PeteW","Super League S6 EU Div 3C","Necromantic Horror",7769,183.98,246.02,NA,"PeteW",267.05,312.54,282.64,"England","382 (231/79/72)",70.81,403,"03 – EU Div 3"
"100","xtapodias","Super League S6 EU Div 3C","Shambling Undead",28002,169.95,170.86,NA,"xtapodias",195.73,198.89,198.67,"Greece","86 (33/28/25)",54.65,403,"03 – EU Div 3"
"101","Fatzke","Super League S6 EU Div 3C","Skaven",26463,137.04,142.34,NA,"fatzke423",139.69,151.21,142.73,"Germany","39 (11/8/20)",38.46,403,"03 – EU Div 3"
"102","historic","Super League S6 EU Div 3C","Dark Elf",22667,NA,190.42,NA,"Historic",202.3,252.98,205.42,"France","186 (90/39/57)",58.87,403,"03 – EU Div 3"
"103","Boneripper","Super League S6 EU Div 3C","Wood Elf",33612,NA,144.35,NA,"BoneRipper",107.05,145.5,122.06,"Malta","93 (23/12/58)",31.18,403,"03 – EU Div 3"
"104","Maveho","Super League S6 EU Div 3C","Necromantic Horror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,"03 – EU Div 3"
"105","realmalteser2","Super League S6 EU Div 3D","Tomb Kings",21409,189.62,189.62,NA,"RealMalteser",207.84,230.07,228.96,"Malta","401 (189/99/113)",59.48,404,"03 – EU Div 3"
"106","Raztout","Super League S6 EU Div 3D","Dark Elf",16824,188.64,239.05,NA,"Raztout",235.57,289.64,250.27,"France","437 (208/124/105)",61.78,404,"03 – EU Div 3"
"107","Supa","Super League S6 EU Div 3D","Necromantic Horror",28354,161.24,168.89,NA,"supa",189.55,189.55,189.55,"Finland","30 (17/8/5)",70,404,"03 – EU Div 3"
"108","Ion","Super League S6 EU Div 3D","Skaven",30099,154.49,164.27,NA,"ion",172.56,199.88,199.88,"Malta","214 (70/69/75)",48.83,404,"03 – EU Div 3"
"109","Akorus","Super League S6 EU Div 3D","Vampire",29907,153.14,164.57,NA,"akorus",177.63,182.96,182.96,"Germany","54 (20/15/19)",50.93,404,"03 – EU Div 3"
"110","fienoss","Super League S6 EU Div 3D","Amazon",29892,150.54,169.86,NA,"fienoss",182.02,209.77,182.5,"Greece","96 (34/37/25)",54.69,404,"03 – EU Div 3"
"111","Dynamix","Super League S6 EU Div 3D","Dark Elf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,"03 – EU Div 3"
"112","Wynters_Dad","Super League S6 EU Div 3D","Chaos Dwarf",30943,NA,159.53,NA,"Wynters_Dad",163.71,171.08,171.08,"England","74 (22/18/34)",41.89,404,"03 – EU Div 3"
"113","siggi","Super League S6 EU Premier League","Orc",25971,237.33,251.1,NA,"siggi",239.31,302.12,268.38,"Switzerland","475 (288/96/91)",70.74,0,"0- EU Premier League"
"114","Purplegoo","Super League S6 EU Premier League","Shambling Undead",11777,217.81,272.75,NA,"Purplegoo",269.82,292.05,277.91,"England","1104 (633/274/197)",69.75,0,"0- EU Premier League"
"115","Thot","Super League S6 EU Premier League","Shambling Undead",19526,208.97,209.57,NA,"Thot",250.88,267.98,253.28,"France","474 (269/97/108)",66.98,0,"0- EU Premier League"
"116","Baki","Super League S6 EU Premier League","Chaos Chosen",19064,191.77,237.9,NA,"Baki",273.14,279.69,279.69,"Germany","291 (162/70/59)",67.7,0,"0- EU Premier League"
"117","Strider84","Super League S6 EU Premier League","Human",14113,183.38,258.36,NA,"strider84",260.02,268.14,261.25,"Switzerland","273 (150/63/60)",66.48,0,"0- EU Premier League"
"118","straume","Super League S6 EU Premier League","Chaos Renegade",20685,175.96,247.22,NA,"Straume",256.62,299.1,293.48,"Norway","446 (241/135/70)",69.17,0,"0- EU Premier League"
"119","JB","Super League S6 EU Premier League","Dwarf",28280,173.38,216.04,NA,"jb",246.77,270.63,261.79,"Ladonia","161 (90/41/30)",68.63,0,"0- EU Premier League"
"120","Grumplekins","Super League S6 EU Premier League","Shambling Undead",26358,163.37,210.9,NA,"grumplekins",209.18,240.63,219.61,"Sweden","278 (115/84/79)",56.47,0,"0- EU Premier League"
"121","joeseph","Super League S6 EU Swiss A","Necromantic Horror",38195,220.11,220.11,NA,"joeseph",271.75,271.75,271.75,"Wales","133 (72/38/23)",68.42,501,"04 – EU Swiss"
"122","camelchops","Super League S6 EU Swiss A","Skaven",32575,214.04,214.04,NA,"camelchops",245.1,266.45,266.45,"Scotland","136 (73/39/24)",68.01,501,"04 – EU Swiss"
"123","rayhell","Super League S6 EU Swiss A","Vampire",30281,213.6,213.6,NA,"rayhell",248.26,256,256,"Poland","188 (97/44/47)",63.3,501,"04 – EU Swiss"
"124","beastquest","Super League S6 EU Swiss A","Lizardmen",27095,212.75,212.75,NA,"NightSword",225.03,242.95,237.23,"Malta","273 (107/78/88)",53.48,501,"04 – EU Swiss"
"125","nonumber","Super League S6 EU Swiss A","Shambling Undead",8923,209.49,217.43,NA,"Nonumber",222.41,260.43,248.3,"Wales","612 (262/150/200)",55.07,501,"04 – EU Swiss"
"126","Rone13169","Super League S6 EU Swiss A","Amazon",24110,204.46,204.46,NA,"rone",229.71,247.44,229.71,"Malta","276 (132/59/85)",58.51,501,"04 – EU Swiss"
"127","mepmuff_2","Super League S6 EU Swiss A","Norse",6123,201.72,201.72,NA,"Mepmuff",214.72,234.32,228.86,"Netherlands","533 (237/123/173)",56,501,"04 – EU Swiss"
"128","Wolter","Super League S6 EU Swiss A","Chaos Chosen",29078,199.27,199.55,NA,"Wolter",242.41,244.18,244.18,"Denmark","206 (92/51/63)",57.04,501,"04 – EU Swiss"
"129","Monitor4321","Super League S6 EU Swiss A","Old World Alliance",33726,195.74,230.56,NA,"monitor",261.63,270.51,270.51,"France","177 (98/49/30)",69.21,501,"04 – EU Swiss"
"130","2Gutta","Super League S6 EU Swiss A","Tomb Kings",24787,185.3,185.3,NA,"2GUTTA",195.59,199.23,199.23,"Poland","57 (24/16/17)",56.14,501,"04 – EU Swiss"
"131","ABF","Super League S6 EU Swiss A","Khorne",32674,179.75,179.75,NA,"abf",167.85,182.76,182.76,"Colombia","65 (27/16/22)",53.85,501,"04 – EU Swiss"
"132","Ironbreaker","Super League S6 EU Swiss A","Shambling Undead",25312,176.26,199.03,NA,"ironbreaker",190.53,226.09,205.09,"Portugal","169 (82/39/48)",60.06,501,"04 – EU Swiss"
"133","starnovi","Super League S6 EU Swiss A","Norse",31896,174.03,174.03,NA,"Novi",181.03,197.42,189.96,"Slovenia","78 (35/18/25)",56.41,501,"04 – EU Swiss"
"134","Shriyke","Super League S6 EU Swiss A","Skaven",30033,169.78,210.98,NA,"shriyke",232.68,236.45,236.45,"Scotland","191 (91/46/54)",59.69,501,"04 – EU Swiss"
"135","SteelyKnife","Super League S6 EU Swiss A","Shambling Undead",17473,169.66,169.66,NA,"SteelyKnife",206.79,211.17,211.17,"Denmark","161 (57/42/62)",48.45,501,"04 – EU Swiss"
"136","Bugrum","Super League S6 EU Swiss A","Skaven",21410,163.16,215.88,NA,"Janninu",252.98,271.54,271.54,"Malta","585 (294/146/145)",62.74,501,"04 – EU Swiss"
"137","MarkyMarc","Super League S6 EU Swiss A","Slann",25254,161.35,217.76,NA,"Markymarc",201.01,261.48,243.3,"Scotland","289 (151/66/72)",63.67,501,"04 – EU Swiss"
"138","Crowdog09","Super League S6 EU Swiss A","Vampire",25747,160.83,177.57,NA,"crowdog09",198.42,221.18,206.18,"Ireland","78 (37/21/20)",60.9,501,"04 – EU Swiss"
"139","Rib-Goaty","Super League S6 EU Swiss A","Old World Alliance",40225,160.39,160.39,NA,"Rib-Goaty",165.16,167.01,167.01,"Portugal","15 (7/3/5)",56.67,501,"04 – EU Swiss"
"140","Purdindas","Super League S6 EU Swiss A","High Elf",10831,159.05,188.3,NA,"Purdindas",207.45,229.1,229.1,"Scotland","628 (257/153/218)",53.11,501,"04 – EU Swiss"
"141","Faskill","Super League S6 EU Swiss A","Necromantic Horror",39913,156.61,173.58,NA,"faskill",191.81,194.65,194.65,"France","22 (11/6/5)",63.64,501,"04 – EU Swiss"
"142","Piogele","Super League S6 EU Swiss A","Dwarf",27730,155.33,181.95,NA,"piogele",189.03,227.77,195.24,"Switzerland","75 (34/12/29)",53.33,501,"04 – EU Swiss"
"143","tripio","Super League S6 EU Swiss A","Wood Elf",39874,155.16,160.2,NA,"vlad-khrychov",164.9,165.35,165.35,"Ukraine","8 (4/4/0)",75,501,"04 – EU Swiss"
"144","DrClaes","Super League S6 EU Swiss A","Snotling",29945,154.78,154.78,NA,"drclaes",157.76,161.91,161.91,"On a deserted island","22 (7/2/13)",36.36,501,"04 – EU Swiss"
