"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Year.high","Country","Alltime.high","Current.streak.without.loss","Longest.streak.without.loss","Naf.games.played","Win.procent","order"
"125","nonumber","Super League S6 EU Swiss A","Shambling Undead",8923,209.49,217.43,NA,"Nonumber",234.82,260.43,"Wales",260.43,0,21,"574 (242/143/189)",54.62,501
"126","Rone13169","Super League S6 EU Swiss A","Amazon",24110,204.46,204.46,NA,"rone",214.02,247.43,"Malta",247.43,0,12,"219 (103/46/70)",57.53,501
"127","mepmuff_2","Super League S6 EU Swiss A","Norse",6123,201.72,201.72,NA,"Mepmuff",219.82,223.91,"Netherlands",234.32,0,9,"509 (226/116/167)",55.8,501
"128","Wolter","Super League S6 EU Swiss A","Chaos Chosen",29078,199.27,199.55,NA,"jew",219.9,226.45,"Denmark",226.45,1,9,"150 (65/35/50)",55,501
"129","Monitor4321","Super League S6 EU Swiss A","Old World Alliance",33726,195.74,230.56,NA,"monitor",233.61,242.5,"On a deserted island",242.5,0,14,"91 (46/25/20)",64.29,501
"130","2Gutta","Super League S6 EU Swiss A","Tomb Kings",24787,185.3,185.3,NA,"2GUTTA",147.77,156.49,"Poland",169.09,0,6,"28 (10/7/11)",48.21,501
"131","ABF","Super League S6 EU Swiss A","Khorne",32674,179.75,179.75,NA,"abf",154.41,154.46,"Colombia",171.51,4,5,"36 (14/8/14)",50,501
"132","Ironbreaker","Super League S6 EU Swiss A","Shambling Undead",25312,176.26,199.03,NA,"ironbreaker",200.29,211.89,"Portugal",226.09,0,13,"157 (78/35/44)",60.83,501
"133","starnovi","Super League S6 EU Swiss A","Norse",31896,174.03,174.03,NA,"Novi",178.92,197.42,"Slovenia",197.42,0,7,"57 (27/11/19)",57.02,501
"134","Shriyke","Super League S6 EU Swiss A","Skaven",30033,169.78,210.98,NA,"shriyke",175.23,224.64,"Scotland",224.64,2,11,"145 (67/29/49)",56.21,501
"135","SteelyKnife","Super League S6 EU Swiss A","Shambling Undead",17473,169.66,169.66,NA,"SteelyKnife",191.83,192.64,"Denmark",192.64,1,10,"137 (48/33/56)",47.08,501
"136","Bugrum","Super League S6 EU Swiss A","Skaven",21410,163.16,215.88,NA,"Janninu",234.18,243.38,"Malta",269.85,2,16,"484 (238/121/125)",61.67,501
"137","MarkyMarc","Super League S6 EU Swiss A","Slann",25254,161.35,217.76,NA,"Markymarc",246.25,261.48,"Scotland",261.48,0,13,"237 (125/57/55)",64.77,501
"138","Crowdog09","Super League S6 EU Swiss A","Vampire",25747,160.83,177.57,NA,"crowdog09",203.42,221.18,"Ireland",221.18,1,12,"67 (32/19/16)",61.94,501
"139","Rib-Goaty","Super League S6 EU Swiss A","Old World Alliance",40225,160.39,160.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501
"140","Purdindas","Super League S6 EU Swiss A","High Elf",10831,159.05,188.3,NA,"Purdindas",193.71,199.3,"Scotland",223.96,3,13,"575 (236/135/204)",52.78,501
"141","Faskill","Super League S6 EU Swiss A","Necromantic Horror",39913,156.61,173.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501
"142","Piogele","Super League S6 EU Swiss A","Dwarf",27730,155.33,181.95,NA,"piogele",181.7,227.77,"Switzerland",227.77,0,9,"61 (27/9/25)",51.64,501
"143","tripio","Super League S6 EU Swiss A","Wood Elf",39874,155.16,160.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501
"144","DrClaes","Super League S6 EU Swiss A","Snotling",29945,154.78,154.78,NA,"drclaes",135.24,146.5,"On a deserted island",146.5,0,1,"5 (0/1/4)",10,501
"145","docminiature","Super League S6 EU Swiss A","Shambling Undead",30923,154.35,160.83,NA,"docminiature",169.75,182.48,"England",182.48,7,11,"137 (53/29/55)",49.27,501
"146","WiIfred","Super League S6 EU Swiss A","Shambling Undead",29172,154.28,187.01,NA,"Wilfred",211.82,224.43,"Denmark",224.43,1,11,"61 (30/16/15)",62.3,501
"147","YangZubr","Super League S6 EU Swiss A","Orc",38993,153.32,153.32,NA,"yangzubr",150.33,150.34,"Ukraine",150.34,2,2,"3 (1/1/1)",50,501
"148","DoubleEdge","Super League S6 EU Swiss A","Amazon",26575,151.24,156.98,NA,"Orca",151.29,159.92,"Malta",174.75,0,9,"168 (53/45/70)",44.94,501
"149","FL0","Super League S6 EU Swiss A","Khorne",30447,145.35,145.35,NA,"FL0",139.16,149.86,"France",158.7,0,5,"68 (19/15/34)",38.97,501
"150","tyler_swaft","Super League S6 EU Swiss A","Wood Elf",33323,141.04,218.42,NA,"Tyler_swaft",231.06,234.25,"England",234.25,1,15,"66 (33/22/11)",66.67,501
"151","razmus","Super League S6 EU Swiss A","Elven Union",24325,NA,154.15,NA,"razmus",160.62,161.79,"United States of America",161.79,0,3,"26 (11/4/11)",50,501
"152","Evomot","Super League S6 EU Swiss A","Orc",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,501
"153","jvidix","Super League S6 EU Swiss A","Dark Elf",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,501
